Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
0,Spiral_Grown,10,0,1.689375638961792,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,100,1.5293900966644287,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,200,1.433179497718811,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,300,1.3584378957748413,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,400,1.312453031539917,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,500,1.2900737524032593,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,600,1.2796735763549805,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,700,1.2733309268951416,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,800,1.266880989074707,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,900,1.2580885887145996,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1000,1.246663212776184,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1100,1.2319518327713013,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1200,1.2121583223342896,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1300,1.1859817504882812,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1400,1.1534614562988281,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1500,1.1160989999771118,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1600,1.0760782957077026,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1700,1.0355808734893799,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1800,0.9963500499725342,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,1900,0.9594961404800415,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2000,0.9255576133728027,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2100,0.8946662545204163,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2200,0.8666902184486389,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2300,0.8413302898406982,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2400,0.8181848526000977,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2500,0.7968059778213501,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2600,0.7767590880393982,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2700,0.7576833367347717,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2800,0.7393224835395813,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,2900,0.7215173244476318,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3000,0.7041810154914856,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3100,0.6872724890708923,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3200,0.6707746386528015,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3300,0.6546791195869446,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3400,0.6389843821525574,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3500,0.6236974596977234,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3600,0.6088348627090454,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3700,0.5944149494171143,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3800,0.5804461240768433,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,3900,0.566912829875946,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4000,0.5537763833999634,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4100,0.5410106182098389,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4200,0.5286504626274109,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4300,0.5167754888534546,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4400,0.5054461359977722,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4500,0.4946764409542084,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4600,0.4844461977481842,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4700,0.4747215211391449,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4800,0.4654667377471924,0.0,[1.],0.001,5000,0.01
0,Spiral_Grown,10,4900,0.45665112137794495,0.0,[1.],0.001,5000,0.01
0,Spiral_Growing,10,0,1.6338779926300049,0.009980259463191032,[0.00098748],0.001,5000,0.01
0,Spiral_Growing,10,100,1.6140027046203613,0.008114379830658436,[0.09920144],0.001,5000,0.01
0,Spiral_Growing,10,200,1.5652029514312744,0.006521996110677719,[0.19241124],0.001,5000,0.01
0,Spiral_Growing,10,300,1.456058382987976,0.005178494844585657,[0.28038236],0.001,5000,0.01
0,Spiral_Growing,10,400,1.3439897298812866,0.0040574693121016026,[0.36301732],0.001,5000,0.01
0,Spiral_Growing,10,500,1.285170078277588,0.0031335025560110807,[0.44022304],0.001,5000,0.01
0,Spiral_Growing,10,600,1.2551639080047607,0.0023822407238185406,[0.51191795],0.001,5000,0.01
0,Spiral_Growing,10,700,1.2262389659881592,0.001780508435331285,[0.5780393],0.001,5000,0.01
0,Spiral_Growing,10,800,1.1867402791976929,0.0013064537197351456,[0.638551],0.001,5000,0.01
0,Spiral_Growing,10,900,1.130956768989563,0.0009397123358212411,[0.6934527],0.001,5000,0.01
0,Spiral_Growing,10,1000,1.065002679824829,0.0006615775637328625,[0.7427885],0.001,5000,0.01
0,Spiral_Growing,10,1100,1.0000234842300415,0.00045516082900576293,[0.786655],0.001,5000,0.01
0,Spiral_Growing,10,1200,0.942372739315033,0.00030552156385965645,[0.82520825],0.001,5000,0.01
0,Spiral_Growing,10,1300,0.8930613994598389,0.00019975568284280598,[0.85866505],0.001,5000,0.01
0,Spiral_Growing,10,1400,0.8509445786476135,0.00012700306251645088,[0.88730437],0.001,5000,0.01
0,Spiral_Growing,10,1500,0.8145604729652405,7.839145109755918e-05,[0.91146106],0.001,5000,0.01
0,Spiral_Growing,10,1600,0.7826043367385864,4.6894718252588063e-05,[0.9315203],0.001,5000,0.01
0,Spiral_Growing,10,1700,0.7540051341056824,2.714192851271946e-05,[0.9479021],0.001,5000,0.01
0,Spiral_Growing,10,1800,0.7279560565948486,1.5172717212408315e-05,[0.9610478],0.001,5000,0.01
0,Spiral_Growing,10,1900,0.703912615776062,8.177609743142966e-06,[0.9714035],0.001,5000,0.01
0,Spiral_Growing,10,2000,0.6815392971038818,4.241644091962371e-06,[0.97940475],0.001,5000,0.01
0,Spiral_Growing,10,2100,0.6606420874595642,2.113271648340742e-06,[0.9854629],0.001,5000,0.01
0,Spiral_Growing,10,2200,0.6410819292068481,1.0092940101458225e-06,[0.98995364],0.001,5000,0.01
0,Spiral_Growing,10,2300,0.6227591037750244,4.6111142637528246e-07,[0.9932095],0.001,5000,0.01
0,Spiral_Growing,10,2400,0.6055778861045837,2.0106234899230913e-07,[0.995516],0.001,5000,0.01
0,Spiral_Growing,10,2500,0.5894365310668945,8.346190583097268e-08,[0.997111],0.001,5000,0.01
0,Spiral_Growing,10,2600,0.5742096304893494,3.29148939215429e-08,[0.99818575],0.001,5000,0.01
0,Spiral_Growing,10,2700,0.5598000884056091,1.2294933071643754e-08,[0.9988912],0.001,5000,0.01
0,Spiral_Growing,10,2800,0.546111524105072,4.337167069934367e-09,[0.9993414],0.001,5000,0.01
0,Spiral_Growing,10,2900,0.533070981502533,1.4406759119012236e-09,[0.99962044],0.001,5000,0.01
0,Spiral_Growing,10,3000,0.520626962184906,4.48992842905227e-10,[0.9997881],0.001,5000,0.01
0,Spiral_Growing,10,3100,0.5087434649467468,1.3096723705530167e-10,[0.99988556],0.001,5000,0.01
0,Spiral_Growing,10,3200,0.4973943531513214,3.552713678800501e-11,[0.9999404],0.001,5000,0.01
0,Spiral_Growing,10,3300,0.4865654408931732,8.846292622044505e-12,[0.99997026],0.001,5000,0.01
0,Spiral_Growing,10,3400,0.476258248090744,2.115143563768962e-12,[0.99998546],0.001,5000,0.01
0,Spiral_Growing,10,3500,0.4664883017539978,5.030997862233433e-13,[0.9999929],0.001,5000,0.01
0,Spiral_Growing,10,3600,0.45727208256721497,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
0,Spiral_Growing,10,3700,0.44861504435539246,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
0,Spiral_Growing,10,3800,0.440502405166626,1.1141309635932448e-13,[0.99999666],0.001,5000,0.01
0,Spiral_Growing,10,3900,0.4329201579093933,1.0746958878371515e-13,[0.9999967],0.001,5000,0.01
0,Spiral_Growing,10,4000,0.4258192777633667,9.606537435110848e-14,[0.9999969],0.001,5000,0.01
0,Spiral_Growing,10,4100,0.4191632568836212,8.881784197001252e-14,[0.999997],0.001,5000,0.01
0,Spiral_Growing,10,4200,0.41291019320487976,7.847944570680415e-14,[0.9999972],0.001,5000,0.01
0,Spiral_Growing,10,4300,0.40702101588249207,7.194245199571014e-14,[0.9999973],0.001,5000,0.01
0,Spiral_Growing,10,4400,0.4014580249786377,6.568967510786963e-14,[0.99999744],0.001,5000,0.01
0,Spiral_Growing,10,4500,0.3961878716945648,5.684341886080802e-14,[0.9999976],0.001,5000,0.01
0,Spiral_Growing,10,4600,0.39117881655693054,5.1301184031101246e-14,[0.99999774],0.001,5000,0.01
0,Spiral_Growing,10,4700,0.3864021897315979,4.6043169412779764e-14,[0.99999785],0.001,5000,0.01
0,Spiral_Growing,10,4800,0.3818330764770508,4.3520742565306136e-14,[0.9999979],0.001,5000,0.01
0,Spiral_Growing,10,4900,0.3774454891681671,3.868904979373311e-14,[0.99999803],0.001,5000,0.01
